Calls for Service and Prevention,Crime and NonCrime Demand,Alert Level,District,Area,No
Demand,Non-Crime,4,Tasman,Nelson Bays Area,6
Demand,Non-Crime,4,Tasman,Nelson Bays Area,2
Demand,Non-Crime,4,Tasman,Nelson Bays Area,23
Demand,Non-Crime,4,Tasman,Nelson Bays Area,8
Demand,Non-Crime,4,Tasman,Nelson Bays Area,101
Demand,Non-Crime,4,Tasman,Nelson Bays Area,68
Demand,Non-Crime,4,Tasman,Nelson Bays Area,12
Demand,Non-Crime,4,Tasman,Nelson Bays Area,11
Demand,Non-Crime,4,Tasman,Nelson Bays Area,5
Demand,Non-Crime,4,Tasman,Nelson Bays Area,7
Demand,Non-Crime,4,Tasman,Nelson Bays Area,1
Demand,Non-Crime,4,Tasman,Nelson Bays Area,1
Demand,Non-Crime,4,Tasman,Nelson Bays Area,1
Demand,Non-Crime,4,Tasman,Nelson Bays Area,8
Demand,Non-Crime,4,Tasman,Nelson Bays Area,4
Demand,Non-Crime,4,Tasman,Nelson Bays Area,1
Demand,Non-Crime,4,Tasman,Nelson Bays Area,1
Demand,Non-Crime,4,Tasman,Nelson Bays Area,3
Demand,Non-Crime,4,Tasman,Nelson Bays Area,1
Demand,Non-Crime,4,Tasman,West Coast Area,6
Demand,Non-Crime,4,Tasman,West Coast Area,2
Demand,Non-Crime,4,Tasman,West Coast Area,33
Demand,Non-Crime,4,Tasman,West Coast Area,1
Demand,Non-Crime,4,Tasman,West Coast Area,7
Demand,Non-Crime,4,Tasman,West Coast Area,1
Demand,Non-Crime,4,Tasman,West Coast Area,8
Demand,Non-Crime,4,Tasman,West Coast Area,1
Demand,Non-Crime,4,Tasman,West Coast Area,26
Demand,Non-Crime,4,Tasman,West Coast Area,1
Demand,Non-Crime,4,Tasman,West Coast Area,1
Demand,Non-Crime,4,Tasman,West Coast Area,3
Demand,Non-Crime,4,Tasman,West Coast Area,2
Demand,Non-Crime,4,Tasman,West Coast Area,1
Demand,Non-Crime,4,Tasman,West Coast Area,1
Demand,Non-Crime,4,Tasman,West Coast Area,1
Demand,Non-Crime,4,Tasman,Marlborough Area,11
Demand,Non-Crime,4,Tasman,Marlborough Area,1
Demand,Non-Crime,4,Tasman,Marlborough Area,1
Demand,Non-Crime,4,Tasman,Marlborough Area,2
Demand,Non-Crime,4,Tasman,Marlborough Area,1
Demand,Non-Crime,4,Tasman,Marlborough Area,1
Demand,Non-Crime,4,Tasman,Nelson Bays Area,5
Demand,Non-Crime,4,Tasman,Nelson Bays Area,7
Demand,Non-Crime,4,Tasman,Nelson Bays Area,12
Demand,Non-Crime,4,Tasman,Nelson Bays Area,1
Demand,Non-Crime,4,Tasman,Nelson Bays Area,3
Demand,Non-Crime,4,Tasman,Nelson Bays Area,1
Demand,Non-Crime,4,Tasman,Nelson Bays Area,1
Demand,Non-Crime,4,Tasman,West Coast Area,14
Demand,Non-Crime,4,Tasman,West Coast Area,8
Demand,Non-Crime,4,Tasman,West Coast Area,5
Demand,Non-Crime,4,Tasman,West Coast Area,1
Demand,Non-Crime,4,Tasman,West Coast Area,1
Demand,Non-Crime,4,Tasman,West Coast Area,1
Demand,Non-Crime,4,Tasman,Marlborough Area,15
Demand,Non-Crime,4,Tasman,Marlborough Area,1
Demand,Non-Crime,4,Tasman,Marlborough Area,7
Demand,Non-Crime,4,Tasman,Marlborough Area,47
Demand,Non-Crime,4,Tasman,Marlborough Area,2
Demand,Non-Crime,4,Tasman,Marlborough Area,11
Demand,Non-Crime,4,Tasman,Marlborough Area,9
Demand,Non-Crime,4,Tasman,Marlborough Area,7
Demand,Non-Crime,4,Tasman,Marlborough Area,10
Demand,Non-Crime,4,Tasman,Marlborough Area,2
Demand,Non-Crime,4,Tasman,Nelson Bays Area,5
Demand,Non-Crime,4,Tasman,Nelson Bays Area,3
Demand,Non-Crime,4,Tasman,Nelson Bays Area,5
Demand,Non-Crime,4,Tasman,Nelson Bays Area,7
Demand,Non-Crime,4,Tasman,Nelson Bays Area,2
Demand,Non-Crime,4,Tasman,Nelson Bays Area,29
Demand,Non-Crime,4,Tasman,Nelson Bays Area,2
Demand,Non-Crime,4,Tasman,Nelson Bays Area,66
Demand,Non-Crime,4,Tasman,Nelson Bays Area,46
Demand,Non-Crime,4,Tasman,Nelson Bays Area,9
Demand,Non-Crime,4,Tasman,Nelson Bays Area,8
Demand,Non-Crime,4,Tasman,Nelson Bays Area,10
Demand,Non-Crime,4,Tasman,Nelson Bays Area,10
Demand,Non-Crime,4,Tasman,Nelson Bays Area,1
Demand,Non-Crime,4,Tasman,Nelson Bays Area,2
Demand,Non-Crime,4,Tasman,Nelson Bays Area,5
Demand,Non-Crime,4,Tasman,Nelson Bays Area,2
Demand,Non-Crime,4,Tasman,Nelson Bays Area,7
Demand,Non-Crime,4,Tasman,Nelson Bays Area,7
Demand,Non-Crime,4,Tasman,Nelson Bays Area,1
Demand,Non-Crime,4,Tasman,Nelson Bays Area,1
Demand,Non-Crime,4,Tasman,West Coast Area,1
Demand,Non-Crime,4,Tasman,West Coast Area,4
Demand,Non-Crime,4,Tasman,West Coast Area,5
Demand,Non-Crime,4,Tasman,West Coast Area,6
Demand,Non-Crime,4,Tasman,West Coast Area,1
Demand,Non-Crime,4,Tasman,West Coast Area,2
Demand,Non-Crime,4,Tasman,West Coast Area,23
Demand,Non-Crime,4,Tasman,West Coast Area,13
Demand,Non-Crime,4,Tasman,West Coast Area,2
Demand,Non-Crime,4,Tasman,West Coast Area,3
Demand,Non-Crime,4,Tasman,West Coast Area,9
Demand,Non-Crime,4,Tasman,West Coast Area,3
Demand,Non-Crime,4,Tasman,West Coast Area,1
Demand,Non-Crime,4,Tasman,West Coast Area,2
Demand,Non-Crime,4,Tasman,West Coast Area,4
Demand,Non-Crime,4,Tasman,West Coast Area,1
Demand,Non-Crime,4,Tasman,West Coast Area,2
Demand,Non-Crime,4,Tasman,West Coast Area,5
Demand,Non-Crime,4,Tasman,West Coast Area,2
Demand,Non-Crime,4,Tasman,Marlborough Area,4
Demand,Non-Crime,4,Tasman,Marlborough Area,2
Demand,Non-Crime,4,Tasman,Marlborough Area,2
Demand,Non-Crime,4,Tasman,Marlborough Area,1
Demand,Non-Crime,4,Tasman,Marlborough Area,3
Demand,Non-Crime,4,Tasman,Marlborough Area,1
Demand,Non-Crime,4,Tasman,Marlborough Area,10
Demand,Non-Crime,4,Tasman,Marlborough Area,1
Demand,Non-Crime,4,Tasman,Marlborough Area,4
Demand,Non-Crime,4,Tasman,Marlborough Area,189
Demand,Non-Crime,4,Tasman,Marlborough Area,14
Demand,Non-Crime,4,Tasman,Marlborough Area,25
Demand,Non-Crime,4,Tasman,Marlborough Area,40
Demand,Non-Crime,4,Tasman,Marlborough Area,15
Demand,Non-Crime,4,Tasman,Marlborough Area,3
Demand,Non-Crime,4,Tasman,Marlborough Area,3
Demand,Non-Crime,4,Tasman,Marlborough Area,2
Demand,Non-Crime,4,Tasman,Marlborough Area,1
Demand,Non-Crime,4,Tasman,Marlborough Area,8
Demand,Non-Crime,4,Tasman,Marlborough Area,1
Demand,Non-Crime,4,Tasman,Marlborough Area,1
Demand,Non-Crime,4,Tasman,Marlborough Area,259
Demand,Non-Crime,4,Tasman,Marlborough Area,22
Demand,Non-Crime,4,Tasman,Marlborough Area,27
Demand,Non-Crime,4,Tasman,Marlborough Area,46
Demand,Non-Crime,4,Tasman,Marlborough Area,6
Demand,Non-Crime,4,Tasman,Marlborough Area,5
Demand,Non-Crime,4,Tasman,Marlborough Area,3
Demand,Non-Crime,4,Tasman,Marlborough Area,2
Demand,Non-Crime,4,Tasman,Marlborough Area,8
Demand,Non-Crime,4,Tasman,Marlborough Area,1
Demand,Non-Crime,4,Tasman,Marlborough Area,3
Demand,Non-Crime,4,Tasman,Nelson Bays Area,1
Demand,Non-Crime,4,Tasman,Nelson Bays Area,1
Demand,Non-Crime,4,Tasman,Nelson Bays Area,1
Demand,Non-Crime,4,Tasman,Nelson Bays Area,5
Demand,Non-Crime,4,Tasman,Nelson Bays Area,2
Demand,Non-Crime,4,Tasman,Nelson Bays Area,1
Demand,Non-Crime,4,Tasman,Nelson Bays Area,1
Demand,Non-Crime,4,Tasman,Nelson Bays Area,1
Demand,Non-Crime,4,Tasman,Nelson Bays Area,13
Demand,Non-Crime,4,Tasman,Nelson Bays Area,9
Demand,Non-Crime,4,Tasman,Nelson Bays Area,1
Demand,Non-Crime,4,Tasman,Nelson Bays Area,2
Demand,Non-Crime,4,Tasman,Nelson Bays Area,83
Demand,Non-Crime,4,Tasman,Nelson Bays Area,13
Demand,Non-Crime,4,Tasman,Nelson Bays Area,185
Demand,Non-Crime,4,Tasman,Nelson Bays Area,121
Demand,Non-Crime,4,Tasman,Nelson Bays Area,17
Demand,Non-Crime,4,Tasman,Nelson Bays Area,18
Demand,Non-Crime,4,Tasman,Nelson Bays Area,7
Demand,Non-Crime,4,Tasman,Nelson Bays Area,12
Demand,Non-Crime,4,Tasman,Nelson Bays Area,4
Demand,Non-Crime,4,Tasman,Nelson Bays Area,3
Demand,Non-Crime,4,Tasman,Nelson Bays Area,2
Demand,Non-Crime,4,Tasman,Nelson Bays Area,1
Demand,Non-Crime,4,Tasman,Nelson Bays Area,12
Demand,Non-Crime,4,Tasman,Nelson Bays Area,14
Demand,Non-Crime,4,Tasman,Nelson Bays Area,1
Demand,Non-Crime,4,Tasman,Nelson Bays Area,1
Demand,Non-Crime,4,Tasman,Nelson Bays Area,7
Demand,Non-Crime,4,Tasman,Nelson Bays Area,5
Demand,Non-Crime,4,Tasman,Nelson Bays Area,1
Demand,Non-Crime,4,Tasman,Nelson Bays Area,95
Demand,Non-Crime,4,Tasman,Nelson Bays Area,8
Demand,Non-Crime,4,Tasman,Nelson Bays Area,289
Demand,Non-Crime,4,Tasman,Nelson Bays Area,137
Demand,Non-Crime,4,Tasman,Nelson Bays Area,46
Demand,Non-Crime,4,Tasman,Nelson Bays Area,25
Demand,Non-Crime,4,Tasman,Nelson Bays Area,2
Demand,Non-Crime,4,Tasman,Nelson Bays Area,4
Demand,Non-Crime,4,Tasman,Nelson Bays Area,1
Demand,Non-Crime,4,Tasman,Nelson Bays Area,2
Demand,Non-Crime,4,Tasman,Nelson Bays Area,2
Demand,Non-Crime,4,Tasman,Nelson Bays Area,1
Demand,Non-Crime,4,Tasman,Nelson Bays Area,1
Demand,Non-Crime,4,Tasman,Nelson Bays Area,2
Demand,Non-Crime,4,Tasman,Nelson Bays Area,2
Demand,Non-Crime,4,Tasman,Nelson Bays Area,15
Demand,Non-Crime,4,Tasman,Nelson Bays Area,7
Demand,Non-Crime,4,Tasman,Nelson Bays Area,1
Demand,Non-Crime,4,Tasman,Nelson Bays Area,1
Demand,Non-Crime,4,Tasman,West Coast Area,1
Demand,Non-Crime,4,Tasman,West Coast Area,1
Demand,Non-Crime,4,Tasman,West Coast Area,1
Demand,Non-Crime,4,Tasman,West Coast Area,1
Demand,Non-Crime,4,Tasman,West Coast Area,1
Demand,Non-Crime,4,Tasman,West Coast Area,1
Demand,Non-Crime,4,Tasman,West Coast Area,2
Demand,Non-Crime,4,Tasman,West Coast Area,2
Demand,Non-Crime,4,Tasman,West Coast Area,2
Demand,Non-Crime,4,Tasman,West Coast Area,5
Demand,Non-Crime,4,Tasman,West Coast Area,5
Demand,Non-Crime,4,Tasman,West Coast Area,92
Demand,Non-Crime,4,Tasman,West Coast Area,3
Demand,Non-Crime,4,Tasman,West Coast Area,29
Demand,Non-Crime,4,Tasman,West Coast Area,4
Demand,Non-Crime,4,Tasman,West Coast Area,11
Demand,Non-Crime,4,Tasman,West Coast Area,34
Demand,Non-Crime,4,Tasman,West Coast Area,1
Demand,Non-Crime,4,Tasman,West Coast Area,1
Demand,Non-Crime,4,Tasman,West Coast Area,1
Demand,Non-Crime,4,Tasman,West Coast Area,1
Demand,Non-Crime,4,Tasman,West Coast Area,4
Demand,Non-Crime,4,Tasman,West Coast Area,1
Demand,Non-Crime,4,Tasman,West Coast Area,2
Demand,Non-Crime,4,Tasman,West Coast Area,2
Demand,Non-Crime,4,Tasman,West Coast Area,2
Demand,Non-Crime,4,Tasman,West Coast Area,10
Demand,Non-Crime,4,Tasman,West Coast Area,11
Demand,Non-Crime,4,Tasman,West Coast Area,117
Demand,Non-Crime,4,Tasman,West Coast Area,7
Demand,Non-Crime,4,Tasman,West Coast Area,41
Demand,Non-Crime,4,Tasman,West Coast Area,4
Demand,Non-Crime,4,Tasman,West Coast Area,17
Demand,Non-Crime,4,Tasman,West Coast Area,5
Demand,Non-Crime,4,Tasman,West Coast Area,55
Demand,Non-Crime,4,Tasman,West Coast Area,1
Demand,Non-Crime,4,Tasman,West Coast Area,1
Demand,Non-Crime,4,Tasman,West Coast Area,2
Demand,Non-Crime,4,Tasman,West Coast Area,4
Demand,Non-Crime,4,Tasman,West Coast Area,3
Demand,Non-Crime,4,Tasman,West Coast Area,1
Demand,Non-Crime,4,Tasman,West Coast Area,1
Demand,Non-Crime,4,Tasman,West Coast Area,2
Demand,Non-Crime,4,Tasman,West Coast Area,4
Demand,Non-Crime,4,Tasman,West Coast Area,2
Demand,Non-Crime,4,Tasman,West Coast Area,1
Demand,Non-Crime,4,Tasman,West Coast Area,1
Demand,Non-Crime,4,Unspecified,Unspecified,2
Demand,Non-Crime,4,Unspecified,Unspecified,11
Demand,Non-Crime,4,Unspecified,Unspecified,5
Demand,Non-Crime,4,Unspecified,Unspecified,1
Demand,Non-Crime,4,Unspecified,Unspecified,2
Demand,Non-Crime,4,Unspecified,Unspecified,4
Demand,Non-Crime,4,Unspecified,Unspecified,3
Demand,Non-Crime,4,Unspecified,Unspecified,1
Demand,Non-Crime,4,Unspecified,Unspecified,1
Demand,Non-Crime,4,Unspecified,Unspecified,2
Demand,Non-Crime,4,Unspecified,Unspecified,5
Demand,Non-Crime,4,Unspecified,Unspecified,1
Demand,Non-Crime,4,Waikato,Hamilton City Area,109
Demand,Non-Crime,4,Waikato,Hamilton City Area,61
Demand,Non-Crime,4,Waikato,Hamilton City Area,46
Demand,Non-Crime,4,Waikato,Hamilton City Area,56
Demand,Non-Crime,4,Waikato,Hamilton City Area,10
Demand,Non-Crime,4,Waikato,Hamilton City Area,2
Demand,Non-Crime,4,Waikato,Hamilton City Area,3
Demand,Non-Crime,4,Waikato,Hamilton City Area,6
Demand,Non-Crime,4,Waikato,Hamilton City Area,2
Demand,Non-Crime,4,Waikato,Hamilton City Area,2
Demand,Non-Crime,4,Waikato,Hamilton City Area,3
Demand,Non-Crime,4,Waikato,Hamilton City Area,26
Demand,Non-Crime,4,Waikato,Hamilton City Area,44
Demand,Non-Crime,4,Waikato,Hamilton City Area,51
Demand,Non-Crime,4,Waikato,Hamilton City Area,46
Demand,Non-Crime,4,Waikato,Waikato East Area,7
Demand,Non-Crime,4,Waikato,Waikato East Area,8
Demand,Non-Crime,4,Waikato,Waikato East Area,2
Demand,Non-Crime,4,Waikato,Waikato East Area,5
Demand,Non-Crime,4,Waikato,Waikato East Area,3
Demand,Non-Crime,4,Waikato,Waikato East Area,5
Demand,Non-Crime,4,Waikato,Waikato East Area,19
Demand,Non-Crime,4,Waikato,Waikato East Area,3
Demand,Non-Crime,4,Waikato,Waikato East Area,2
Demand,Non-Crime,4,Waikato,Waikato East Area,3
Demand,Non-Crime,4,Waikato,Waikato East Area,5
Demand,Non-Crime,4,Waikato,Waikato East Area,1
Demand,Non-Crime,4,Waikato,Waikato East Area,1
Demand,Non-Crime,4,Waikato,Waikato East Area,2
Demand,Non-Crime,4,Waikato,Waikato East Area,3
Demand,Non-Crime,4,Waikato,Waikato East Area,2
Demand,Non-Crime,4,Waikato,Waikato East Area,3
Demand,Non-Crime,4,Waikato,Waikato East Area,1
Demand,Non-Crime,4,Waikato,Waikato East Area,1
Demand,Non-Crime,4,Waikato,Waikato East Area,1
Demand,Non-Crime,4,Waikato,Waikato East Area,8
Demand,Non-Crime,4,Waikato,Waikato East Area,5
Demand,Non-Crime,4,Waikato,Waikato East Area,2
Demand,Non-Crime,4,Waikato,Waikato East Area,1
Demand,Non-Crime,4,Waikato,Waikato East Area,1
Demand,Non-Crime,4,Waikato,Waikato East Area,5
Demand,Non-Crime,4,Waikato,Waikato East Area,1
Demand,Non-Crime,4,Waikato,Waikato East Area,1
Demand,Non-Crime,4,Waikato,Waikato East Area,4
Demand,Non-Crime,4,Waikato,Waikato West Area,6
Demand,Non-Crime,4,Waikato,Waikato West Area,11
Demand,Non-Crime,4,Waikato,Waikato West Area,14
Demand,Non-Crime,4,Waikato,Waikato West Area,5
Demand,Non-Crime,4,Waikato,Waikato West Area,1
Demand,Non-Crime,4,Waikato,Waikato West Area,5
Demand,Non-Crime,4,Waikato,Waikato West Area,17
Demand,Non-Crime,4,Waikato,Waikato West Area,6
Demand,Non-Crime,4,Waikato,Waikato West Area,9
Demand,Non-Crime,4,Waikato,Waikato West Area,1
Demand,Non-Crime,4,Waikato,Waikato West Area,1
Demand,Non-Crime,4,Waikato,Waikato West Area,1
Demand,Non-Crime,4,Waikato,Waikato West Area,2
Demand,Non-Crime,4,Waikato,Waikato West Area,2
Demand,Non-Crime,4,Waikato,Waikato West Area,2
Demand,Non-Crime,4,Waikato,Waikato West Area,1
Demand,Non-Crime,4,Waikato,Waikato West Area,1
Demand,Non-Crime,4,Waikato,Waikato West Area,7
Demand,Non-Crime,4,Waikato,Waikato West Area,5
Demand,Non-Crime,4,Waikato,Waikato West Area,7
Demand,Non-Crime,4,Waikato,Waikato West Area,1
Demand,Non-Crime,4,Waikato,Waikato West Area,1
Demand,Non-Crime,4,Waikato,Waikato West Area,9
Demand,Non-Crime,4,Waikato,Waikato West Area,3
Demand,Non-Crime,4,Waikato,Waikato West Area,3
Demand,Non-Crime,4,Waikato,Hamilton City Area,240
Demand,Non-Crime,4,Waikato,Hamilton City Area,178
Demand,Non-Crime,4,Waikato,Hamilton City Area,236
Demand,Non-Crime,4,Waikato,Hamilton City Area,224
Demand,Non-Crime,4,Waikato,Hamilton City Area,1
Demand,Non-Crime,4,Waikato,Hamilton City Area,3
Demand,Non-Crime,4,Waikato,Waikato East Area,10
Demand,Non-Crime,4,Waikato,Waikato East Area,29
Demand,Non-Crime,4,Waikato,Waikato East Area,31
Demand,Non-Crime,4,Waikato,Waikato East Area,12
Demand,Non-Crime,4,Waikato,Waikato East Area,34
Demand,Non-Crime,4,Waikato,Waikato East Area,4
Demand,Non-Crime,4,Waikato,Waikato East Area,31
Demand,Non-Crime,4,Waikato,Waikato East Area,43
Demand,Non-Crime,4,Waikato,Waikato East Area,37
Demand,Non-Crime,4,Waikato,Waikato East Area,4
Demand,Non-Crime,4,Waikato,Waikato East Area,7
Demand,Non-Crime,4,Waikato,Waikato East Area,24
Demand,Non-Crime,4,Waikato,Waikato East Area,1
Demand,Non-Crime,4,Waikato,Waikato West Area,2
Demand,Non-Crime,4,Waikato,Waikato West Area,42
Demand,Non-Crime,4,Waikato,Waikato West Area,109
Demand,Non-Crime,4,Waikato,Waikato West Area,3
Demand,Non-Crime,4,Waikato,Waikato West Area,63
Demand,Non-Crime,4,Waikato,Waikato West Area,23
Demand,Non-Crime,4,Waikato,Waikato West Area,2
Demand,Non-Crime,4,Waikato,Waikato West Area,18
Demand,Non-Crime,4,Waikato,Waikato West Area,75
Demand,Non-Crime,4,Waikato,Waikato West Area,17
Demand,Non-Crime,4,Waikato,Waikato West Area,36
Demand,Non-Crime,4,Waikato,Hamilton City Area,41
Demand,Non-Crime,4,Waikato,Hamilton City Area,13
Demand,Non-Crime,4,Waikato,Hamilton City Area,10
Demand,Non-Crime,4,Waikato,Hamilton City Area,22
Demand,Non-Crime,4,Waikato,Hamilton City Area,4
Demand,Non-Crime,4,Waikato,Hamilton City Area,1
Demand,Non-Crime,4,Waikato,Hamilton City Area,6
Demand,Non-Crime,4,Waikato,Hamilton City Area,3
Demand,Non-Crime,4,Waikato,Hamilton City Area,1
Demand,Non-Crime,4,Waikato,Waikato East Area,6
Demand,Non-Crime,4,Waikato,Waikato East Area,2
Demand,Non-Crime,4,Waikato,Waikato East Area,1
Demand,Non-Crime,4,Waikato,Waikato East Area,2
Demand,Non-Crime,4,Waikato,Waikato East Area,1
Demand,Non-Crime,4,Waikato,Waikato East Area,5
Demand,Non-Crime,4,Waikato,Waikato East Area,2
Demand,Non-Crime,4,Waikato,Waikato East Area,1
Demand,Non-Crime,4,Waikato,Waikato East Area,3
Demand,Non-Crime,4,Waikato,Waikato East Area,1
Demand,Non-Crime,4,Waikato,Waikato West Area,2
Demand,Non-Crime,4,Waikato,Waikato West Area,12
Demand,Non-Crime,4,Waikato,Waikato West Area,4
Demand,Non-Crime,4,Waikato,Waikato West Area,1
Demand,Non-Crime,4,Waikato,Waikato West Area,3
Demand,Non-Crime,4,Waikato,Waikato West Area,1
Demand,Non-Crime,4,Waikato,Waikato West Area,2
Demand,Non-Crime,4,Waikato,Waikato West Area,3
Demand,Non-Crime,4,Waikato,Waikato West Area,1
Demand,Non-Crime,4,Waikato,Hamilton City Area,63
Demand,Non-Crime,4,Waikato,Hamilton City Area,46
Demand,Non-Crime,4,Waikato,Hamilton City Area,32
Demand,Non-Crime,4,Waikato,Hamilton City Area,29
Demand,Non-Crime,4,Waikato,Hamilton City Area,3
Demand,Non-Crime,4,Waikato,Hamilton City Area,2
Demand,Non-Crime,4,Waikato,Hamilton City Area,1
Demand,Non-Crime,4,Waikato,Hamilton City Area,50
Demand,Non-Crime,4,Waikato,Hamilton City Area,19
Demand,Non-Crime,4,Waikato,Hamilton City Area,30
Demand,Non-Crime,4,Waikato,Hamilton City Area,13
Demand,Non-Crime,4,Waikato,Waikato East Area,20
Demand,Non-Crime,4,Waikato,Waikato East Area,3
Demand,Non-Crime,4,Waikato,Waikato East Area,3
Demand,Non-Crime,4,Waikato,Waikato East Area,6
Demand,Non-Crime,4,Waikato,Waikato East Area,8
Demand,Non-Crime,4,Waikato,Waikato East Area,4
Demand,Non-Crime,4,Waikato,Waikato East Area,3
Demand,Non-Crime,4,Waikato,Waikato East Area,6
Demand,Non-Crime,4,Waikato,Waikato East Area,1
Demand,Non-Crime,4,Waikato,Waikato East Area,2
Demand,Non-Crime,4,Waikato,Waikato East Area,2
Demand,Non-Crime,4,Waikato,Waikato East Area,4
Demand,Non-Crime,4,Waikato,Waikato East Area,4
Demand,Non-Crime,4,Waikato,Waikato East Area,4
Demand,Non-Crime,4,Waikato,Waikato East Area,1
Demand,Non-Crime,4,Waikato,Waikato East Area,5
Demand,Non-Crime,4,Waikato,Waikato East Area,5
Demand,Non-Crime,4,Waikato,Waikato East Area,1
Demand,Non-Crime,4,Waikato,Waikato East Area,1
Demand,Non-Crime,4,Waikato,Waikato East Area,5
Demand,Non-Crime,4,Waikato,Waikato West Area,18
Demand,Non-Crime,4,Waikato,Waikato West Area,14
Demand,Non-Crime,4,Waikato,Waikato West Area,1
Demand,Non-Crime,4,Waikato,Waikato West Area,6
Demand,Non-Crime,4,Waikato,Waikato West Area,5
Demand,Non-Crime,4,Waikato,Waikato West Area,4
Demand,Non-Crime,4,Waikato,Waikato West Area,12
Demand,Non-Crime,4,Waikato,Waikato West Area,3
Demand,Non-Crime,4,Waikato,Waikato West Area,9
Demand,Non-Crime,4,Waikato,Waikato West Area,1
Demand,Non-Crime,4,Waikato,Waikato West Area,17
Demand,Non-Crime,4,Waikato,Waikato West Area,7
Demand,Non-Crime,4,Waikato,Waikato West Area,11
Demand,Non-Crime,4,Waikato,Waikato West Area,2
Demand,Non-Crime,4,Waikato,Waikato West Area,7
Demand,Non-Crime,4,Waikato,Waikato West Area,3
Demand,Non-Crime,4,Waikato,Waikato West Area,6
Demand,Non-Crime,4,Waikato,Hamilton City Area,10
Demand,Non-Crime,4,Waikato,Hamilton City Area,1
Demand,Non-Crime,4,Waikato,Hamilton City Area,1
Demand,Non-Crime,4,Waikato,Hamilton City Area,1512
Demand,Non-Crime,4,Waikato,Hamilton City Area,33
Demand,Non-Crime,4,Waikato,Hamilton City Area,36
Demand,Non-Crime,4,Waikato,Hamilton City Area,26
Demand,Non-Crime,4,Waikato,Hamilton City Area,2
Demand,Non-Crime,4,Waikato,Hamilton City Area,1
Demand,Non-Crime,4,Waikato,Hamilton City Area,1
Demand,Non-Crime,4,Waikato,Hamilton City Area,1
Demand,Non-Crime,4,Waikato,Hamilton City Area,252
Demand,Non-Crime,4,Waikato,Hamilton City Area,200
Demand,Non-Crime,4,Waikato,Hamilton City Area,223
Demand,Non-Crime,4,Waikato,Hamilton City Area,260
Demand,Non-Crime,4,Waikato,Hamilton City Area,51
Demand,Non-Crime,4,Waikato,Hamilton City Area,1
Demand,Non-Crime,4,Waikato,Hamilton City Area,1
Demand,Non-Crime,4,Waikato,Hamilton City Area,10
Demand,Non-Crime,4,Waikato,Hamilton City Area,4
Demand,Non-Crime,4,Waikato,Hamilton City Area,6
Demand,Non-Crime,4,Waikato,Hamilton City Area,3
Demand,Non-Crime,4,Waikato,Hamilton City Area,14
Demand,Non-Crime,4,Waikato,Hamilton City Area,2
Demand,Non-Crime,4,Waikato,Hamilton City Area,9
Demand,Non-Crime,4,Waikato,Hamilton City Area,18
Demand,Non-Crime,4,Waikato,Hamilton City Area,21
Demand,Non-Crime,4,Waikato,Hamilton City Area,3
Demand,Non-Crime,4,Waikato,Hamilton City Area,5
Demand,Non-Crime,4,Waikato,Hamilton City Area,61
Demand,Non-Crime,4,Waikato,Hamilton City Area,40
Demand,Non-Crime,4,Waikato,Hamilton City Area,38
Demand,Non-Crime,4,Waikato,Hamilton City Area,34
Demand,Non-Crime,4,Waikato,Hamilton City Area,3
Demand,Non-Crime,4,Waikato,Hamilton City Area,9
Demand,Non-Crime,4,Waikato,Hamilton City Area,8
Demand,Non-Crime,4,Waikato,Hamilton City Area,4
Demand,Non-Crime,4,Waikato,Hamilton City Area,2
Demand,Non-Crime,4,Waikato,Hamilton City Area,8
Demand,Non-Crime,4,Waikato,Waikato East Area,2
Demand,Non-Crime,4,Waikato,Waikato East Area,1
Demand,Non-Crime,4,Waikato,Waikato East Area,1
Demand,Non-Crime,4,Waikato,Waikato East Area,64
Demand,Non-Crime,4,Waikato,Waikato East Area,195
Demand,Non-Crime,4,Waikato,Waikato East Area,8
Demand,Non-Crime,4,Waikato,Waikato East Area,89
Demand,Non-Crime,4,Waikato,Waikato East Area,35
Demand,Non-Crime,4,Waikato,Waikato East Area,112
Demand,Non-Crime,4,Waikato,Waikato East Area,127
Demand,Non-Crime,4,Waikato,Waikato East Area,28
Demand,Non-Crime,4,Waikato,Waikato East Area,8
Demand,Non-Crime,4,Waikato,Waikato East Area,2
Demand,Non-Crime,4,Waikato,Waikato East Area,3
Demand,Non-Crime,4,Waikato,Waikato East Area,1
Demand,Non-Crime,4,Waikato,Waikato East Area,7
Demand,Non-Crime,4,Waikato,Waikato East Area,6
Demand,Non-Crime,4,Waikato,Waikato East Area,39
Demand,Non-Crime,4,Waikato,Waikato East Area,1
Demand,Non-Crime,4,Waikato,Waikato East Area,36
Demand,Non-Crime,4,Waikato,Waikato East Area,62
Demand,Non-Crime,4,Waikato,Waikato East Area,51
Demand,Non-Crime,4,Waikato,Waikato East Area,17
Demand,Non-Crime,4,Waikato,Waikato East Area,34
Demand,Non-Crime,4,Waikato,Waikato East Area,25
Demand,Non-Crime,4,Waikato,Waikato East Area,53
Demand,Non-Crime,4,Waikato,Waikato East Area,52
Demand,Non-Crime,4,Waikato,Waikato East Area,56
Demand,Non-Crime,4,Waikato,Waikato East Area,15
Demand,Non-Crime,4,Waikato,Waikato East Area,21
Demand,Non-Crime,4,Waikato,Waikato East Area,22
Demand,Non-Crime,4,Waikato,Waikato East Area,4
Demand,Non-Crime,4,Waikato,Waikato East Area,3
