Location,Age,Gender,Ethnicity,Resolution,Offence,Year,Value,Flags
Bay Of Plenty District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Property damage and environmental pollution,2011,1871,
Bay Of Plenty District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Property damage and environmental pollution,2012,1763,
Bay Of Plenty District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Property damage and environmental pollution,2013,1623,
Bay Of Plenty District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Property damage and environmental pollution,2014,1330,
Bay Of Plenty District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Public order offences,2006,3479,
Bay Of Plenty District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Public order offences,2007,3977,
Bay Of Plenty District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Public order offences,2008,4210,
Bay Of Plenty District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Public order offences,2009,5422,
Bay Of Plenty District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Public order offences,2010,5191,
Bay Of Plenty District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Public order offences,2011,4401,
Bay Of Plenty District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Public order offences,2012,3843,
Bay Of Plenty District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Public order offences,2013,3424,
Bay Of Plenty District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Public order offences,2014,2809,
Bay Of Plenty District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Offences against justice procedures, government security and government operations",2006,1387,
Bay Of Plenty District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Offences against justice procedures, government security and government operations",2007,1463,
Bay Of Plenty District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Offences against justice procedures, government security and government operations",2008,1541,
Bay Of Plenty District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Offences against justice procedures, government security and government operations",2009,1897,
Bay Of Plenty District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Offences against justice procedures, government security and government operations",2010,1827,
Bay Of Plenty District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Offences against justice procedures, government security and government operations",2011,1720,
Bay Of Plenty District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Offences against justice procedures, government security and government operations",2012,1435,
Bay Of Plenty District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Offences against justice procedures, government security and government operations",2013,1180,
Bay Of Plenty District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Offences against justice procedures, government security and government operations",2014,1343,
Bay Of Plenty District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Miscellaneous offences,2006,65,
Bay Of Plenty District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Miscellaneous offences,2007,86,
Bay Of Plenty District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Miscellaneous offences,2008,86,
Bay Of Plenty District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Miscellaneous offences,2009,95,
Bay Of Plenty District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Miscellaneous offences,2010,88,
Bay Of Plenty District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Miscellaneous offences,2011,73,
Bay Of Plenty District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Miscellaneous offences,2012,99,
Bay Of Plenty District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Miscellaneous offences,2013,82,
Bay Of Plenty District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Miscellaneous offences,2014,104,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Total Offences,2006,13301,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Total Offences,2007,13113,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Total Offences,2008,12809,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Total Offences,2009,14692,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Total Offences,2010,14718,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Total Offences,2011,14261,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Total Offences,2012,12075,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Total Offences,2013,12024,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Total Offences,2014,11592,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Homicide and related offences,2006,9,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Homicide and related offences,2007,2,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Homicide and related offences,2008,4,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Homicide and related offences,2009,22,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Homicide and related offences,2010,4,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Homicide and related offences,2011,5,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Homicide and related offences,2012,3,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Homicide and related offences,2013,5,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Homicide and related offences,2014,2,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Acts intended to cause injury,2006,1711,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Acts intended to cause injury,2007,2105,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Acts intended to cause injury,2008,2330,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Acts intended to cause injury,2009,2666,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Acts intended to cause injury,2010,2990,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Acts intended to cause injury,2011,2938,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Acts intended to cause injury,2012,2267,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Acts intended to cause injury,2013,2405,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Acts intended to cause injury,2014,2321,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Sexual assault and related offences,2006,133,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Sexual assault and related offences,2007,78,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Sexual assault and related offences,2008,96,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Sexual assault and related offences,2009,58,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Sexual assault and related offences,2010,103,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Sexual assault and related offences,2011,107,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Sexual assault and related offences,2012,165,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Sexual assault and related offences,2013,114,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Sexual assault and related offences,2014,117,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Dangerous or negligent acts endangering persons,2006,40,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Dangerous or negligent acts endangering persons,2007,33,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Dangerous or negligent acts endangering persons,2008,46,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Dangerous or negligent acts endangering persons,2009,37,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Dangerous or negligent acts endangering persons,2010,39,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Dangerous or negligent acts endangering persons,2011,41,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Dangerous or negligent acts endangering persons,2012,45,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Dangerous or negligent acts endangering persons,2013,48,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Dangerous or negligent acts endangering persons,2014,46,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Abduction, harassment and other related offences against a person",2006,367,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Abduction, harassment and other related offences against a person",2007,400,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Abduction, harassment and other related offences against a person",2008,434,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Abduction, harassment and other related offences against a person",2009,508,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Abduction, harassment and other related offences against a person",2010,716,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Abduction, harassment and other related offences against a person",2011,747,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Abduction, harassment and other related offences against a person",2012,560,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Abduction, harassment and other related offences against a person",2013,616,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Abduction, harassment and other related offences against a person",2014,690,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Robbery, extortion and related offences",2006,74,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Robbery, extortion and related offences",2007,104,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Robbery, extortion and related offences",2008,112,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Robbery, extortion and related offences",2009,79,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Robbery, extortion and related offences",2010,93,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Robbery, extortion and related offences",2011,76,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Robbery, extortion and related offences",2012,79,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Robbery, extortion and related offences",2013,105,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Robbery, extortion and related offences",2014,82,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Unlawful entry with intent/burglary, break and enter",2006,920,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Unlawful entry with intent/burglary, break and enter",2007,912,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Unlawful entry with intent/burglary, break and enter",2008,793,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Unlawful entry with intent/burglary, break and enter",2009,1040,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Unlawful entry with intent/burglary, break and enter",2010,968,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Unlawful entry with intent/burglary, break and enter",2011,893,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Unlawful entry with intent/burglary, break and enter",2012,709,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Unlawful entry with intent/burglary, break and enter",2013,792,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Unlawful entry with intent/burglary, break and enter",2014,720,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Theft and related offences,2006,2611,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Theft and related offences,2007,2438,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Theft and related offences,2008,2382,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Theft and related offences,2009,2636,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Theft and related offences,2010,2458,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Theft and related offences,2011,2337,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Theft and related offences,2012,2095,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Theft and related offences,2013,2079,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Theft and related offences,2014,1925,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Fraud, deception and related offences",2006,688,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Fraud, deception and related offences",2007,300,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Fraud, deception and related offences",2008,316,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Fraud, deception and related offences",2009,325,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Fraud, deception and related offences",2010,347,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Fraud, deception and related offences",2011,229,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Fraud, deception and related offences",2012,223,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Fraud, deception and related offences",2013,262,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Fraud, deception and related offences",2014,321,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Illicit drug offences,2006,1257,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Illicit drug offences,2007,1095,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Illicit drug offences,2008,1087,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Illicit drug offences,2009,1365,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Illicit drug offences,2010,971,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Illicit drug offences,2011,1175,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Illicit drug offences,2012,1011,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Illicit drug offences,2013,792,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Illicit drug offences,2014,896,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Prohibited and regulated weapons and explosives offences,2006,457,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Prohibited and regulated weapons and explosives offences,2007,388,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Prohibited and regulated weapons and explosives offences,2008,406,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Prohibited and regulated weapons and explosives offences,2009,500,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Prohibited and regulated weapons and explosives offences,2010,524,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Prohibited and regulated weapons and explosives offences,2011,442,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Prohibited and regulated weapons and explosives offences,2012,424,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Prohibited and regulated weapons and explosives offences,2013,436,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Prohibited and regulated weapons and explosives offences,2014,431,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Property damage and environmental pollution,2006,1451,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Property damage and environmental pollution,2007,1351,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Property damage and environmental pollution,2008,1264,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Property damage and environmental pollution,2009,1217,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Property damage and environmental pollution,2010,1484,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Property damage and environmental pollution,2011,1311,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Property damage and environmental pollution,2012,949,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Property damage and environmental pollution,2013,1086,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Property damage and environmental pollution,2014,915,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Public order offences,2006,2654,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Public order offences,2007,2977,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Public order offences,2008,2552,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Public order offences,2009,3285,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Public order offences,2010,2921,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Public order offences,2011,2876,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Public order offences,2012,2662,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Public order offences,2013,2306,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Public order offences,2014,1925,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Offences against justice procedures, government security and government operations",2006,895,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Offences against justice procedures, government security and government operations",2007,868,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Offences against justice procedures, government security and government operations",2008,894,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Offences against justice procedures, government security and government operations",2009,891,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Offences against justice procedures, government security and government operations",2010,1037,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Offences against justice procedures, government security and government operations",2011,1018,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Offences against justice procedures, government security and government operations",2012,816,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Offences against justice procedures, government security and government operations",2013,902,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Offences against justice procedures, government security and government operations",2014,1101,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Miscellaneous offences,2006,34,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Miscellaneous offences,2007,62,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Miscellaneous offences,2008,93,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Miscellaneous offences,2009,63,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Miscellaneous offences,2010,63,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Miscellaneous offences,2011,66,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Miscellaneous offences,2012,67,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Miscellaneous offences,2013,76,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Miscellaneous offences,2014,100,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Total Offences,2006,16826,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Total Offences,2007,17699,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Total Offences,2008,18536,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Total Offences,2009,17961,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Total Offences,2010,17539,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Total Offences,2011,17913,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Total Offences,2012,15103,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Total Offences,2013,14732,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Total Offences,2014,13656,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Homicide and related offences,2006,8,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Homicide and related offences,2007,30,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Homicide and related offences,2008,22,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Homicide and related offences,2009,16,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Homicide and related offences,2010,13,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Homicide and related offences,2011,10,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Homicide and related offences,2012,4,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Homicide and related offences,2013,7,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Homicide and related offences,2014,4,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Acts intended to cause injury,2006,2687,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Acts intended to cause injury,2007,3146,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Acts intended to cause injury,2008,3331,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Acts intended to cause injury,2009,3420,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Acts intended to cause injury,2010,3168,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Acts intended to cause injury,2011,3385,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Acts intended to cause injury,2012,2853,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Acts intended to cause injury,2013,2642,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Acts intended to cause injury,2014,2552,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Sexual assault and related offences,2006,124,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Sexual assault and related offences,2007,146,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Sexual assault and related offences,2008,175,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Sexual assault and related offences,2009,142,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Sexual assault and related offences,2010,153,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Sexual assault and related offences,2011,186,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Sexual assault and related offences,2012,165,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Sexual assault and related offences,2013,215,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Sexual assault and related offences,2014,146,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Dangerous or negligent acts endangering persons,2006,33,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Dangerous or negligent acts endangering persons,2007,49,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Dangerous or negligent acts endangering persons,2008,55,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Dangerous or negligent acts endangering persons,2009,49,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Dangerous or negligent acts endangering persons,2010,44,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Dangerous or negligent acts endangering persons,2011,51,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Dangerous or negligent acts endangering persons,2012,42,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Dangerous or negligent acts endangering persons,2013,35,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Dangerous or negligent acts endangering persons,2014,36,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Abduction, harassment and other related offences against a person",2006,719,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Abduction, harassment and other related offences against a person",2007,753,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Abduction, harassment and other related offences against a person",2008,759,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Abduction, harassment and other related offences against a person",2009,770,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Abduction, harassment and other related offences against a person",2010,733,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Abduction, harassment and other related offences against a person",2011,748,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Abduction, harassment and other related offences against a person",2012,661,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Abduction, harassment and other related offences against a person",2013,690,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Abduction, harassment and other related offences against a person",2014,689,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Robbery, extortion and related offences",2006,114,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Robbery, extortion and related offences",2007,107,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Robbery, extortion and related offences",2008,114,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Robbery, extortion and related offences",2009,120,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Robbery, extortion and related offences",2010,116,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Robbery, extortion and related offences",2011,106,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Robbery, extortion and related offences",2012,83,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Robbery, extortion and related offences",2013,66,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Robbery, extortion and related offences",2014,68,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Unlawful entry with intent/burglary, break and enter",2006,1381,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Unlawful entry with intent/burglary, break and enter",2007,1574,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Unlawful entry with intent/burglary, break and enter",2008,1366,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Unlawful entry with intent/burglary, break and enter",2009,1263,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Unlawful entry with intent/burglary, break and enter",2010,1141,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Unlawful entry with intent/burglary, break and enter",2011,1257,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Unlawful entry with intent/burglary, break and enter",2012,877,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Unlawful entry with intent/burglary, break and enter",2013,999,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Unlawful entry with intent/burglary, break and enter",2014,782,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Theft and related offences,2006,3718,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Theft and related offences,2007,3481,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Theft and related offences,2008,3386,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Theft and related offences,2009,3101,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Theft and related offences,2010,3486,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Theft and related offences,2011,3388,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Theft and related offences,2012,2838,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Theft and related offences,2013,3084,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Theft and related offences,2014,3058,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Fraud, deception and related offences",2006,501,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Fraud, deception and related offences",2007,408,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Fraud, deception and related offences",2008,679,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Fraud, deception and related offences",2009,591,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Fraud, deception and related offences",2010,433,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Fraud, deception and related offences",2011,443,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Fraud, deception and related offences",2012,340,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Fraud, deception and related offences",2013,392,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Fraud, deception and related offences",2014,502,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Illicit drug offences,2006,1224,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Illicit drug offences,2007,1348,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Illicit drug offences,2008,1544,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Illicit drug offences,2009,1569,
